grapheme,gold,pred,accuracy
abie,ˈɑbie̯,ˈɑbie̯,0.0
ahe,ˈɑhe,ˈɑhe,0.0
abuiäni,ˈɑbuˌiæ̯nʲi,ˈɑbui̯æ̯nʲi,18.0
ahašhengine,ˈɑhɑʒˌheŋɡinʲe,ˈɑhɑʒˌheŋɡinʲe,0.0
ahaš,ˈɑhɑʃ,ˈɑhɑʃ,0.0
aakkua,ˈɑːkːuɑ̯,ˈɑɑkːuɑ̯,12.0
adivo,ˈɑdʲiʋo,ˈɑdʲiʋo,0.0
ahašhenkini,ˈɑhɑʃˌheŋkinʲi,ˈɑhɑʃˌheŋkinʲi,0.0
ahingo,ˈɑhiŋɡo,ˈɑhiŋɡo,0.0
adra,ˈɑdrɑ,ˈɑdrɑ,0.0
ahkera,ˈɑhkerɑ,ˈɑhkerɑ,0.0
ahkivo,ˈɑhkiʋo,ˈɑhkiʋo,0.0
ahinko,ˈɑhiŋko,ˈɑhiŋko,0.0
ahjo,ˈɑhjo,ˈɑhjo,0.0
abu,ˈɑbu,ˈɑbu,0.0
ahtivo,ˈɑhtʲiʋo,ˈɑhtʲiʋo,0.0
ahku,ˈɑhku,ˈɑhku,0.0
aida,ˈɑi̯dɑ,ˈɑi̯dɑ,0.0
ainoš,ˈɑi̯noʃ,ˈɑi̯noʃ,0.0
airo,ˈɑi̯ro,ˈɑi̯ro,0.0
aiga,ˈɑi̯ɡɑ,ˈɑi̯ɡɑ,0.0
aika,ˈɑi̯kɑ,ˈɑi̯kɑ,0.0
ajelupualikka,ˈɑjeluˌpuɑ̯lʲikːɑ,ˈɑjeluˌpuɑ̯lʲikːɑ,0.0
aivot,ˈɑi̯ʋot,ˈɑi̯ʋot,0.0
ahmo,ˈɑhmo,ˈɑhmo,0.0
aitta,ˈɑi̯tːɑ,ˈɑi̯tːɑ,0.0
akka,ˈɑkːɑ,ˈɑkːɑ,0.0
aita,ˈɑi̯tɑ,ˈɑi̯tɑ,0.0
allaš,ˈɑlːɑʃ,ˈɑlːɑʃ,0.0
akottuo,ˈɑkotːuo̯,ˈɑkotːuo̯,0.0
ajelušpualikka,ˈɑjeluʃˌpuɑ̯lʲikːɑ,ˈɑjeluʃˌpuɑ̯lʲikːɑ,0.0
alah,ˈɑlɑh,ˈɑlɑh,0.0
aloveh,ˈɑloʋeh,ˈɑloʋeh,0.0
allaviivata,ˈɑlːɑˌʋiːʋɑtɑ,ˈɑllɑˌʋiːʋɑtɑ,8.0
andilaš,ˈɑndilɑʃ,ˈɑndilɑʃ,0.0
altina,ˈɑltʲinɑ,ˈɑltʲinɑ,0.0
appiukko,ˈɑpːiˌukːo,ˈɑpːiˌukːo,0.0
ammatillini,ˈɑmːɑˌtʲilʲːinʲi,ˈɑmːɑˌtʲilʲːinʲi,0.0
apie,ˈɑpie̯,ˈɑpie̯,0.0
anteliekaš,ˈɑntelie̯kɑʃ,ˈɑntʲelʲie̯kɑʃ,17.0
anoppi,ˈɑnopːi,ˈɑnopːi,0.0
appi,ˈɑpːi,ˈɑpːi,0.0
arhelei,ˈɑrhelʲei̯,ˈɑrhelʲei̯,0.0
armahuš,ˈɑrmɑhuʃ,ˈɑrmɑhuʃ,0.0
aprelʹa,ˈɑprʲelʲɑ,ˈɑprʲelʲɑ,0.0
antilaš,ˈɑntilɑʃ,ˈɑntilɑʃ,0.0
arvata,ˈɑrʋɑtɑ,ˈɑrʋɑtɑ,0.0
armaš,ˈɑrmɑʃ,ˈɑrmɑʃ,0.0
apu,ˈɑpu,ˈɑpu,0.0
aševelvollini,ˈɑʃeˌʋelʋolʲːinʲi,ˈɑʃeˌʋelʋolʲːinʲi,0.0
atra,ˈɑtrɑ,ˈɑtrɑ,0.0
